Reporting Year,Building ID,Building Status,Property Address Street*,Property Address City*,Property Address Postal Code*, Assessor Gross Floor Area* , Reported Gross Floor Area** ,Primary Property Type**,Energy Star Certification - Years Certified**,Energy Star Certification Recent**,Energy Star Score**,Site EUI**,Source EUI**,Weather Normalized Site EUI**,Weather Normalized Source EUI**,Total GHG Emissions**, Electricity Use Grid Purchase and Onsite (KWh)** , Electricity Use Grid Purchase (KWh)** , Natural Gas Use (kBtu)** , Natural Gas Use (therms)** ,District Chilled Water Use**,District Hot Water Use**,District Steam Use**,Indoor Water Use All Water Sources**,Indoor Water Intensity All Water Sources**,Outdoor Water Use All Water Sources**,Water Use**,Water Score**
2023,M10028,in compliance,1100 Ne 79 St,Miami,33138,"112,599","112,599",Self-Storage Facility,0,0,0,7.8,21.9,7.5,20.9,98.1,"258,043","258,043", -   , -   ,0,0,0,6,0.1,0,6,0
2023,M10030,in compliance,1101 Biscayne Blvd,Miami,33132,"310,046","275,000",Museum,0,0,0,99.5,273.6,97.8,268.7,3003.4,"7,788,438","7,788,437","794,877","7,949",0,0,0,11566.8,42.1,374.2,11941,0
2023,M10032,in compliance,1103 Biscayne Blvd,Miami,33132,"243,072","120,000",Museum,0,0,0,243.1,460.1,242.7,458.9,2368.5,"4,115,280","4,115,280","15,135,400","151,354",0,0,0,0,0,0,1116.8,0
2023,M10036,in compliance,111 Ne 2 Ave,Miami,33132,"242,294","82,261",Multifamily Housing,0,0,54,53.9,151,52.4,146.8,493.3,"1,300,502","1,300,502", -   , -   ,0,0,0,0,0,0,5422.7,37
2023,M10037,in compliance,1110 Brickell Ave,Miami,33131,"95,886","91,721",Office,0,0,25,89.7,251,88.9,249,916.4,"2,409,600","2,409,600","5,033",50,0,0,0,0,0,0,3724.3,0
2023,M10039,in compliance,1111 Brickell Bay Dr,Miami,33131,"634,081","448,928",Multifamily Housing,0,0,68,44.5,115.3,44.5,114.6,2086.9,"5,154,280","5,154,279","2,395,799","23,958",0,0,0,0,0,0,32682.6,7
2023,M10040,in compliance,1111 Parrot Jungle Trl,Miami,33132,"1,654,863","200,000",Other - Recreation,0,0,0,30.2,84.7,30.2,84.7,674.1,"1,773,095","1,773,095", -   , -   ,0,0,0,945.3,4.7,0,945.3,0
2023,M10048,in compliance,1155 Brickell Bay Dr.,Miami,33131,"1,857,478","435,088",Multifamily Housing,0,0,76,46.5,124.8,46.3,123.7,2176.7,"5,538,442","5,538,441","1,337,201","13,372",0,0,0,0,0,0,25571.9,27
2023,M10055,in compliance,1201 Nw 42 Ave,Miami,33126,"252,404","226,681",Hotel,0,0,10,130.2,311.8,129.7,309.2,2890.5,"6,646,286","6,646,285","6,846,000","68,460",0,0,0,19542,86.2,0,19542,0
2023,M10056,in compliance,1201 Nw 42 Ave,Miami,33126,"116,339","103,100",Hotel,0,0,63,61,155,59.9,151.9,646.5,"1,571,006","1,571,006","926,100","9,261",0,0,0,3095,30,0,3095,0
2023,M10057,in compliance,1201 Nw 42 Ave,Miami,33126,"176,023","172,263",Hotel,0,0,88,49.7,115.5,49.7,115.5,818.2,"1,824,894","1,824,894","2,342,000","23,420",0,0,0,4479,26,0,4479,0
